date,price
1-Jan-10,-0.375
4-Jan-10,-0.225
5-Jan-10,-0.12
6-Jan-10,-0.17
7-Jan-10,-0.11
8-Jan-10,-0.17
11-Jan-10,-0.165
12-Jan-10,-0.135
13-Jan-10,-0.105
14-Jan-10,-0.065
15-Jan-10,-0.085
18-Jan-10,-0.1
19-Jan-10,-0.025
20-Jan-10,0.065
21-Jan-10,0.01
22-Jan-10,-0.03
25-Jan-10,-0.055
26-Jan-10,-0.05
27-Jan-10,-0.02
28-Jan-10,-0.055
29-Jan-10,-0.06
1-Feb-10,-0.005
2-Feb-10,-0.115
3-Feb-10,-0.095
4-Feb-10,-0.005
5-Feb-10,0.01
8-Feb-10,-0.07
9-Feb-10,-0.117
10-Feb-10,-0.08
11-Feb-10,-0.095
12-Feb-10,-0.11
15-Feb-10,-0.112
16-Feb-10,-0.18
17-Feb-10,-0.17
18-Feb-10,-0.17
19-Feb-10,-0.145
22-Feb-10,-0.055
23-Feb-10,-0.065
24-Feb-10,-0.11
25-Feb-10,-0.07
26-Feb-10,-0.11
1-Mar-10,-0.07
2-Mar-10,-0.085
3-Mar-10,-0.145
4-Mar-10,-0.105
5-Mar-10,-0.14
8-Mar-10,-0.125
9-Mar-10,-0.135
10-Mar-10,-0.14
11-Mar-10,-0.16
12-Mar-10,-0.15
15-Mar-10,-0.05
16-Mar-10,-0.12
17-Mar-10,-0.085
18-Mar-10,-0.02
19-Mar-10,-0.095
22-Mar-10,-0.05
23-Mar-10,-0.095
24-Mar-10,-0.07
25-Mar-10,-0.115
26-Mar-10,-0.07
29-Mar-10,-0.105
30-Mar-10,-0.085
31-Mar-10,-0.095
1-Apr-10,-0.095
2-Apr-10,-0.098
5-Apr-10,-0.103
6-Apr-10,-0.105
7-Apr-10,-0.118
8-Apr-10,-0.155
9-Apr-10,-0.185
12-Apr-10,-0.125
13-Apr-10,-0.085
14-Apr-10,-0.164
15-Apr-10,-0.09
16-Apr-10,-0.1
19-Apr-10,-0.045
20-Apr-10,-0.13
21-Apr-10,-0.08
22-Apr-10,-0.135
23-Apr-10,-0.13
26-Apr-10,-0.105
27-Apr-10,0.03
28-Apr-10,0.005
29-Apr-10,-0.18
30-Apr-10,-0.14
3-May-10,-0.1
4-May-10,-0.005
5-May-10,0.005
6-May-10,-0.06
7-May-10,-0.095
10-May-10,-0.125
11-May-10,-0.11
12-May-10,-0.1
13-May-10,-0.09
14-May-10,-0.105
17-May-10,-0.03
18-May-10,-0.08
19-May-10,-0.03
20-May-10,0.115
21-May-10,-0.07
24-May-10,-0.07
25-May-10,0.075
26-May-10,-0.05
27-May-10,-0.2
28-May-10,0.06
31-May-10,-0.05
1-Jun-10,-0.031
2-Jun-10,-0.09
3-Jun-10,0.11
4-Jun-10,0.005
7-Jun-10,-0.03
8-Jun-10,-0.08
9-Jun-10,-0.03
10-Jun-10,-0.065
11-Jun-10,-0.07
14-Jun-10,-0.09
15-Jun-10,-0.08
16-Jun-10,-0.065
17-Jun-10,-0.085
18-Jun-10,-0.075
21-Jun-10,-0.09
22-Jun-10,-0.068
23-Jun-10,-0.005
24-Jun-10,-0.115
25-Jun-10,-0.05
28-Jun-10,-0.103
29-Jun-10,0.04
30-Jun-10,-0.053
1-Jul-10,-0.028
2-Jul-10,-0.025
5-Jul-10,-0.04
6-Jul-10,-0.045
7-Jul-10,-0.035
8-Jul-10,-0.01
9-Jul-10,-0.025
12-Jul-10,-0.02
13-Jul-10,-0.005
14-Jul-10,-0.025
15-Jul-10,-0.02
16-Jul-10,0.035
19-Jul-10,0.015
20-Jul-10,-0.013
21-Jul-10,-0.011
22-Jul-10,-0.025
23-Jul-10,-0.015
26-Jul-10,-0.053
27-Jul-10,-0.053
28-Jul-10,-0.015
29-Jul-10,-0.025
30-Jul-10,-0.05
2-Aug-10,-0.03
3-Aug-10,-0.015
4-Aug-10,-0.005
5-Aug-10,-0.028
6-Aug-10,-0.1
9-Aug-10,-0.055
10-Aug-10,0.05
11-Aug-10,0.055
12-Aug-10,-0.001
13-Aug-10,-0.025
16-Aug-10,-0.015
17-Aug-10,-0.028
18-Aug-10,-0.038
19-Aug-10,-0.015
20-Aug-10,-0.01
23-Aug-10,-0.02
24-Aug-10,0.01
25-Aug-10,-0.01
26-Aug-10,-0.023
27-Aug-10,-0.028
30-Aug-10,-0.01
31-Aug-10,0.008
1-Sep-10,-0.02
2-Sep-10,-0.023
3-Sep-10,-0.063
6-Sep-10,-0.038
7-Sep-10,-0.04
8-Sep-10,-0.05
9-Sep-10,-0.033
10-Sep-10,-0.076
13-Sep-10,-0.048
14-Sep-10,-0.046
15-Sep-10,-0.05
16-Sep-10,-0.025
17-Sep-10,-0.035
20-Sep-10,-0.045
21-Sep-10,-0.085
22-Sep-10,-0.18
23-Sep-10,-0.045
24-Sep-10,-0.18
27-Sep-10,-0.133
28-Sep-10,-0.093
29-Sep-10,-0.128
30-Sep-10,-0.098
1-Oct-10,-0.198
4-Oct-10,-0.07
5-Oct-10,-0.165
6-Oct-10,-0.158
7-Oct-10,-0.015
8-Oct-10,-0.148
11-Oct-10,-0.095
12-Oct-10,-0.08
13-Oct-10,-0.09
14-Oct-10,-0.095
15-Oct-10,-0.108
18-Oct-10,-0.088
19-Oct-10,0.034
20-Oct-10,-0.064
21-Oct-10,-0.085
22-Oct-10,-0.033
25-Oct-10,-0.23
26-Oct-10,-0.138
27-Oct-10,-0.058
28-Oct-10,-0.105
29-Oct-10,-0.07
1-Nov-10,-0.035
2-Nov-10,-0.065
3-Nov-10,-0.055
4-Nov-10,-0.11
5-Nov-10,0.04
8-Nov-10,0.045
