date,price
1-Jan-10,31.974
4-Jan-10,31.743
5-Jan-10,31.84
6-Jan-10,31.865
7-Jan-10,31.87
8-Jan-10,31.873
11-Jan-10,31.764
12-Jan-10,31.778
13-Jan-10,31.804
14-Jan-10,31.743
15-Jan-10,31.795
18-Jan-10,31.766
19-Jan-10,31.78
20-Jan-10,31.836
21-Jan-10,31.912
22-Jan-10,31.97
25-Jan-10,31.961
26-Jan-10,32.044
27-Jan-10,32.067
28-Jan-10,31.983
29-Jan-10,31.941
1-Feb-10,32.001
2-Feb-10,32.048
3-Feb-10,31.963
4-Feb-10,32.012
5-Feb-10,32.066
8-Feb-10,32.152
9-Feb-10,32.076
10-Feb-10,32.064
11-Feb-10,32.04
12-Feb-10,32.063
15-Feb-10,32.115
16-Feb-10,32.05
17-Feb-10,32.055
18-Feb-10,32.04
19-Feb-10,32.089
22-Feb-10,32.02
23-Feb-10,32.042
24-Feb-10,32.065
25-Feb-10,32.095
26-Feb-10,32.072
1-Mar-10,32.016
2-Mar-10,32.032
3-Mar-10,31.977
4-Mar-10,31.964
5-Mar-10,31.918
8-Mar-10,31.859
9-Mar-10,31.836
10-Mar-10,31.743
11-Mar-10,31.785
12-Mar-10,31.748
15-Mar-10,31.814
16-Mar-10,31.816
17-Mar-10,31.726
18-Mar-10,31.704
19-Mar-10,31.743
22-Mar-10,31.791
23-Mar-10,31.829
24-Mar-10,31.8
25-Mar-10,31.845
26-Mar-10,31.876
29-Mar-10,31.791
30-Mar-10,31.787
31-Mar-10,31.758
1-Apr-10,31.771
2-Apr-10,31.727
5-Apr-10,31.715
6-Apr-10,31.666
7-Apr-10,31.569
8-Apr-10,31.596
9-Apr-10,31.553
12-Apr-10,31.536
13-Apr-10,31.56
14-Apr-10,31.446
15-Apr-10,31.349
16-Apr-10,31.37
19-Apr-10,31.439
20-Apr-10,31.422
21-Apr-10,31.35
22-Apr-10,31.378
23-Apr-10,31.332
26-Apr-10,31.296
27-Apr-10,31.316
28-Apr-10,31.426
29-Apr-10,31.439
30-Apr-10,31.339
3-May-10,31.397
4-May-10,31.407
5-May-10,31.51
6-May-10,31.67
7-May-10,31.709
10-May-10,31.523
11-May-10,31.586
12-May-10,31.662
13-May-10,31.645
14-May-10,31.653
17-May-10,31.804
18-May-10,31.846
19-May-10,31.989
20-May-10,32.085
21-May-10,32.128
24-May-10,32.094
25-May-10,32.244
26-May-10,32.301
27-May-10,32.117
28-May-10,31.96
31-May-10,31.97
1-Jun-10,32.218
2-Jun-10,32.28
3-Jun-10,32.124
4-Jun-10,32.19
7-Jun-10,32.437
8-Jun-10,32.385
9-Jun-10,32.415
10-Jun-10,32.423
11-Jun-10,32.371
14-Jun-10,32.249
15-Jun-10,32.283
16-Jun-10,32.2
17-Jun-10,32.271
18-Jun-10,32.15
21-Jun-10,31.735
22-Jun-10,31.828
23-Jun-10,31.998
24-Jun-10,32.031
25-Jun-10,32.04
28-Jun-10,32.085
29-Jun-10,32.142
30-Jun-10,32.133
1-Jul-10,32.23
2-Jul-10,32.25
5-Jul-10,32.189
6-Jul-10,32.184
7-Jul-10,32.191
8-Jul-10,32.103
9-Jul-10,32.048
12-Jul-10,32.093
13-Jul-10,32.175
14-Jul-10,32.109
15-Jul-10,32.118
16-Jul-10,32.109
19-Jul-10,32.145
20-Jul-10,32.124
21-Jul-10,32.11
22-Jul-10,32.185
23-Jul-10,32.108
26-Jul-10,32.1
27-Jul-10,32.028
28-Jul-10,32.028
29-Jul-10,31.98
30-Jul-10,31.974
2-Aug-10,31.81
3-Aug-10,31.76
4-Aug-10,31.802
5-Aug-10,31.798
6-Aug-10,31.738
9-Aug-10,31.673
10-Aug-10,31.755
11-Aug-10,31.82
12-Aug-10,31.907
13-Aug-10,31.899
16-Aug-10,31.931
17-Aug-10,31.902
18-Aug-10,31.924
19-Aug-10,31.914
20-Aug-10,31.916
23-Aug-10,31.943
24-Aug-10,32.006
25-Aug-10,32.029
26-Aug-10,32.006
27-Aug-10,32.002
30-Aug-10,32.026
31-Aug-10,32.034
1-Sep-10,32.034
2-Sep-10,32
3-Sep-10,31.933
6-Sep-10,31.881
7-Sep-10,31.967
8-Sep-10,31.965
9-Sep-10,31.889
10-Sep-10,31.855
13-Sep-10,31.747
14-Sep-10,31.726
15-Sep-10,31.765
16-Sep-10,31.725
17-Sep-10,31.681
20-Sep-10,31.655
21-Sep-10,31.663
22-Sep-10,31.56
23-Sep-10,31.545
24-Sep-10,31.495
27-Sep-10,31.385
28-Sep-10,31.416
29-Sep-10,31.272
30-Sep-10,31.263
1-Oct-10,31.14
4-Oct-10,31.048
5-Oct-10,31.117
6-Oct-10,30.985
7-Oct-10,30.774
8-Oct-10,31.007
11-Oct-10,30.895
12-Oct-10,31.008
13-Oct-10,30.861
14-Oct-10,30.735
15-Oct-10,30.686
18-Oct-10,30.825
19-Oct-10,30.853
20-Oct-10,30.891
21-Oct-10,30.8
22-Oct-10,30.861
25-Oct-10,30.63
26-Oct-10,30.735
27-Oct-10,30.779
28-Oct-10,30.729
29-Oct-10,30.662
1-Nov-10,30.578
2-Nov-10,30.53
3-Nov-10,30.465
4-Nov-10,30.332
5-Nov-10,30.215
8-Nov-10,30.16
9-Nov-10,30.141
10-Nov-10,30.281
11-Nov-10,30.161
12-Nov-10,30.345
15-Nov-10,30.381
16-Nov-10,30.366
17-Nov-10,30.618
18-Nov-10,30.468
19-Nov-10,30.318
22-Nov-10,30.259
23-Nov-10,30.435
24-Nov-10,30.52
25-Nov-10,30.483
26-Nov-10,30.458
29-Nov-10,30.411
30-Nov-10,30.477
1-Dec-10,30.435
2-Dec-10,30.363
3-Dec-10,30.517
6-Dec-10,30.254
7-Dec-10,30.103
8-Dec-10,30.183
9-Dec-10,30.098
10-Dec-10,30.061
13-Dec-10,30.099
14-Dec-10,30.034
15-Dec-10,29.988
16-Dec-10,29.988
17-Dec-10,29.84
20-Dec-10,29.879
21-Dec-10,29.868
22-Dec-10,29.878
23-Dec-10,30.031
24-Dec-10,29.876
27-Dec-10,29.501
28-Dec-10,29.489
29-Dec-10,29.378
30-Dec-10,29.311
31-Dec-10,29.351
3-Jan-11,29.374
4-Jan-11,29.417
5-Jan-11,29.492
6-Jan-11,29.549
7-Jan-11,29.546
10-Jan-11,29.562
11-Jan-11,29.596
12-Jan-11,29.213
13-Jan-11,29.161
14-Jan-11,29.571
17-Jan-11,29.54
18-Jan-11,29.58
19-Jan-11,29.581
20-Jan-11,29.464
21-Jan-11,29.191
24-Jan-11,29.114
25-Jan-11,29.492
26-Jan-11,29.474
27-Jan-11,29.491
28-Jan-11,29.407
31-Jan-11,29.283
1-Feb-11,29.068
2-Feb-11,28.925
3-Feb-11,28.96
4-Feb-11,29
7-Feb-11,29.075
8-Feb-11,29.009
9-Feb-11,28.954
10-Feb-11,28.968
11-Feb-11,29.197
14-Feb-11,28.919
15-Feb-11,29.096
